#Study : Study 28-03-17 19h04m
#Date : 20170328 19:12:37
#Version : 6.3.6059.1
#TestRunDate : 20170328 19:08:01.306 (-04:00)
#Tracker : Model-Tobii T60, Freq-60Hz, Screen Size(cms)-{Width=33.7, Height=27}, Screen Res-{Width=1920, Height=1080}, Distance(Resp)-60cm 

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	TimeSignal	GazeLeftx	GazeLefty	GazeRightx	GazeRighty	PupilLeft	PupilRight	DistanceLeft	DistanceRight	CameraLeftX	CameraLeftY	CameraRightX	CameraRightY	ValidityLeft	ValidityRight	GazeX	GazeY	GazeAOI	InterpolatedGazeX	InterpolatedGazeY	GazeEventType	GazeVelocityAngle	SaccadeSeq	SaccadeStart	SaccadeDuration	FixationSeq	FixationX	FixationY	FixationStart	FixationDuration	FixationAOI	PostMarker	Annotation	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190802236		843	1118	386	935	701	2.607834	3.058594	740.3118	740.3721	0.6638179	0.5476925	0.5194721	0.5702748	0	0	1026	544		1026	544		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190802268		870	999	558	792	827	2.987427	3.499924	742.1731	742.0887	0.6636055	0.5477096	0.5195599	0.5703875	0	0	896	692		896	692		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190802297		897	1154	390	863	766	2.705719	3.352356	744.0038	743.9139	0.6633396	0.5476709	0.5196037	0.5702403	0	0	1008	578		1008	578		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190802328		929	1074	504	988	668	3.040146	3.184067	746.1644	746.0679	0.6629944	0.5476207	0.5196141	0.5700992	0	0	1031	586		1031	586		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190802356		958	1055	439	1049	620	2.926712	2.952789	747.9041	747.8787	0.6626998	0.5477759	0.5196712	0.5700139	0	0	1052	530		1052	530		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190802389		990	1099	420	848	764	2.986328	3.428848	749.9453	749.4764	0.6625688	0.5479775	0.5196969	0.5699016	0	0	974	592		974	592		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190802417		1017	1063	470	1076	579	2.935028	2.86142	751.4943	750.8403	0.6625559	0.5480665	0.5198665	0.569594	0	0	1070	524		1070	524		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190802449		1050	1146	119	1355	412	2.823425	2.092316	753.4343	753.0123	0.6626207	0.5472581	0.5204229	0.5681684	0	0	1250	266		1250	266		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190802479		1079	1100	125	1150	446	3.005249	2.764954	754.5294	753.9318	0.6630394	0.5477263	0.5208684	0.5681806	0	0	1125	286		1125	286		0																	
Study 28-03-17 19h04m	20170328	Anonymous 28-03-17 19h04m	19	MALE	KinectScreenshot-Depth-09-40-32	TestImage	ET	20170328_190802506		1110	1099	271	1192	450	3.158081	2.644806	755.356	754.8864	0.6636974	0.5483308	0.5215079	0.5681641	0	0	1146	360		1146	360		0																	
